key,canonical,reject_code,note
モバイルゲームの2年以上のバージョンアップ開発経験,開発経験,R1,助詞含み
モバイルゲーム運用経験,運用経験,R4,危険canonical=運用経験
モバイルゲーム運用経験3年以上,運用経験,R2,日本語14字超
ユーザー対応を含むコミュニケーション力,コミュニケーション力,R1,助詞含み
ユーザー調整経験,調整,R4,危険canonical=調整
リバース設計,設計,R4,危険canonical=設計
リモート多めの為、リモート時にきちんとコミュニケーションとれる方,コミュニケーション,R1,助詞含み
ルータの構築,構築,R1,助詞含み
ルータ構築,構築,R4,危険canonical=構築
ルーティング設計,設計,R4,危険canonical=設計
レポートの設計,設計,R1,助詞含み
ロジもしくは会計のsapコンサル経験,SAP,R1,助詞含み
ローコードツール(power platform 等)の利用経験,Power Platform,R1,助詞含み
ローコード開発経験,開発経験,R4,危険canonical=開発経験
ロードバランサー(物理 仮想)の設計 構築経験,ロードバランサー,R1,助詞含み
ロードバランサー設計 構築経験,ロードバランサー,R2,日本語14字超
上流工程からリリースまでの経験,上流工程,R1,助詞含み
上流工程リード,上流工程,R4,危険canonical=上流工程
上流工程対応経験,上流工程,R4,危険canonical=上流工程
上流工程経験,上流工程,R4,危険canonical=上流工程
上流視点を持ちつつ、現場調整も厭わないバイタリティ,調整,R1,助詞含み
上流設計,設計,R4,危険canonical=設計
主体的にコミュニケーションが取れる,コミュニケーション,R1,助詞含み
主体的にコミュニケーションを取りながら仕様を詰められる,コミュニケーション,R1,助詞含み
主体的にコミュニケーションを取りながら仕様を詰められる方,コミュニケーション,R1,助詞含み
事業会社ディレクション,ディレクション,R4,危険canonical=ディレクション
人柄重視。php,PHP,R3,求人ノイズ記号含み
他システム基盤設計,設計,R4,危険canonical=設計
他部門とのコミュニケーション,コミュニケーション,R1,助詞含み
仮想サーバ構築経験,構築経験,R4,危険canonical=構築経験
仮想化基盤(vmware等)の知識,VMware,R1,助詞含み
仮想基盤構築プロジェクトのpmo,PMO,R1,助詞含み
任意のプログラミング言語での開発or保守経験5年以上,ログ,R1,助詞含み
体制は2名の技術者を想定し、設計から移行まで指導 遂行できる人材を求める,設計,R1,助詞含み
何かしらのフレームワークを使ったphp開発経験,開発経験,R1,助詞含み
保守/運用開発経験,開発経験,R4,危険canonical=開発経験
保守運用経験者,運用経験,R4,危険canonical=運用経験
保険会社のシステムテスト案件pmo要員募集,テスト,R1,助詞含み
保険業界での開発経験,開発経験,R1,助詞含み
光回線系の営業経験,営業,R1,助詞含み
光回線系の営業経験者,営業,R1,助詞含み
円滑なコミュニケーション,コミュニケーション,R3,求人ノイズ記号含み
円滑にコミュニケーションが取れる方,コミュニケーション,R1,助詞含み
勤怠、コミュニケーション良好な方,コミュニケーション,R2,日本語15字超
受入れテスト経験,テスト,R4,危険canonical=テスト
各種ネットワークにおける設計 構築 運用保守経験,ネットワーク,R1,助詞含み
周辺システムのアドオン機能設計,設計,R1,助詞含み
問題定義力 主体性,主体性,R4,危険canonical=主体性
営業管理,営業,R4,危険canonical=営業
営業経験,営業,R4,危険canonical=営業
営業経験3年以上,営業,R4,危険canonical=営業
基本設計~実装~テストまで一人称で対応可能な方,基本設計,R2,日本語21字超
基本設計~経験があると良い,基本設計,R1,助詞含み
基本設計の経験,基本設計,R1,助詞含み
基本設計以降の対応,基本設計,R1,助詞含み
基本設計書 / 外部設計書 / テーブル定義書等を読んで仕様理解できること,基本設計,R1,助詞含み
基盤/ネットワーク領域の知見,ネットワーク,R1,助詞含み
基盤構築経験,構築経験,R4,危険canonical=構築経験
基盤設計,設計,R4,危険canonical=設計
基礎的なazureの構築イメージが持てる人,Azure,R1,助詞含み
外部会社へのセキュリティチェック 是正措置の提案経験,セキュリティ,R1,助詞含み
大手ネット証券グループの認証認可基盤開発会社におけるpmo支援,PMO,R1,助詞含み
大手食品メーカーid管理バッチ設計,設計,R2,日本語15字超
大規模nw構築経験,構築経験,R4,危険canonical=構築経験
大規模sap導入プロジェクト経験,SAP,R2,日本語13字超
大規模アプリ開発経験,開発経験,R4,危険canonical=開発経験
大規模インフラ基盤更改案件の経験,インフラ,R1,助詞含み
大規模システム(エンタープライズ環境)でのインフラ 監視設計経験,インフラ,R1,助詞含み
大規模トラフィック 高負荷環境でのアーキテクチャ設計 開発 運用経験,運用経験,R1,助詞含み
急募:フルリモaws案件,AWS,R4,危険canonical=AWS
性能設計,設計,R4,危険canonical=設計
情シス(社内se)経験2年以上,SE,R15,括弧/カンマ含み
情シスse経験,SE,R4,危険canonical=SE
情報システム部門または社内seとしての実務経験,SE,R1,助詞含み
技術的リーダーシップ,リーダー,R4,危険canonical=リーダー
提案 要件定義 折衝経験,要件定義,R2,空白2個以上
新しいデータ活用やai活用に関心を持ち、積極的に学習できる方,AI,R1,助詞含み
既存システムからの移行、再構築案件の経験,構築,R1,助詞含み
既存システムの運用保守 改修経験,運用保守,R1,助詞含み
日本語でのコミュニケーション,コミュニケーション,R1,助詞含み
日立関連プロジェクトでの設計 開発経験,開発経験,R1,助詞含み
業務システムの保守開発経験,開発経験,R1,助詞含み
業務設計,設計,R4,危険canonical=設計
業務部門とのコミュニケーション,コミュニケーション,R1,助詞含み
概要設計,設計,R4,危険canonical=設計
構築時は出社あり,構築,R1,助詞含み
構築経験(クラウド,構築経験,R15,括弧/カンマ含み
構築経験者,構築経験,R4,危険canonical=構築経験
機械学習の基礎理解,機械学習,R1,助詞含み
法人営業,営業,R4,危険canonical=営業
無形商材の営業経験,営業,R1,助詞含み
無形商材の法人営業経験3年以上,営業,R1,助詞含み
現状のインフラ要員がawsの人でazureは手探り,Azure,R1,助詞含み
生成ai(llm,生成AI,R15,括弧/カンマ含み
生成aiによるコード生成を活用しながら高品質な実装ができる方,生成AI,R1,助詞含み
生成aiを活用した開発効率化の実践経験,生成AI,R1,助詞含み
生成aiツールを用いて業務を行った経験,生成AI,R1,助詞含み
生成ai領域の知見 経験,生成AI,R1,助詞含み
申請ワークフローシステムの開発経験,開発経験,R1,助詞含み
画像認識ai,AI,R4,危険canonical=AI
画像認識ai構築,構築,R4,危険canonical=構築
画面開発設計,設計,R4,危険canonical=設計
研修実施,実施,R4,危険canonical=実施
社内se,SE,R4,危険canonical=SE
社内ヘルプデスクの業務,ヘルプデスク,R1,助詞含み
社内外折衝/調整経験,調整,R4,危険canonical=調整
移行のディレクション,ディレクション,R1,助詞含み
移行設計,設計,R4,危険canonical=設計
組み込み機器におけるメカ制御用アプリケーションソフト開発経験,開発経験,R1,助詞含み
組込ソフト開発経験,開発経験,R4,危険canonical=開発経験
組込開発経験,開発経験,R4,危険canonical=開発経験
結合テスト,テスト,R4,危険canonical=テスト
総合テスト,テスト,R4,危険canonical=テスト
自動テストの実装経験,テスト,R1,助詞含み
自動取込] 件名: 【案件】関西インフラロースキル案件,インフラ,R2,日本語21字超
自動車メーカー向けインフラ更改プロジェクトpmo,インフラ,R2,日本語21字超
自律的にタスクの整理 実行,実行,R1,助詞含み
自律的に課題を整理し、セキュリティ領域を主導して推進できる方,セキュリティ,R1,助詞含み
自社サービスでの開発経験,開発経験,R1,助詞含み
英語でのコミュニケーション,コミュニケーション,R1,助詞含み
英語でのコミュニケーションスキル,コミュニケーション,R1,助詞含み
英語セキュリティ系業務経験もなくても興味ある人,セキュリティ,R1,助詞含み
行動ログ イベントログ設計,設計,R4,危険canonical=設計
複合機、コピー機、プリンタ機の開発経験,開発経験,R1,助詞含み
複数サービスを組み合わせた基盤構築経験,構築経験,R1,助詞含み
複数事業またはグループ会社環境での運用経験,運用経験,R1,助詞含み
複数部門を横断した業務改善/運用経験,運用経験,R1,助詞含み
要件ヒアリングや設計などのご経験,設計,R1,助詞含み
要件定義からツール作成まで一貫して対応できるseスキル,要件定義,R1,助詞含み
要件定義など上流工程を担当した経験,要件定義,R1,助詞含み
要件定義フェーズから一貫して対応した開発経験,開発経験,R1,助詞含み
要件定義フェーズのご経験,要件定義,R1,助詞含み
設計~受入テストまでの開発経験,開発経験,R1,助詞含み
設計〜対応可能なエンジニア募集,設計,R2,日本語14字超
設計から1人称で作業ができる方,設計,R1,助詞含み
設計から一人称で対応できる方,設計,R2,日本語14字超
設計から運用までの一貫した経験,設計,R1,助詞含み
設計以降一連でご対応可能な方,設計,R2,日本語14字超
設計意図理解,設計,R4,危険canonical=設計
設計書からテストまで一貫して作業した経験,テスト,R1,助詞含み
設計書等がない中での開発経験,開発経験,R1,助詞含み
設計書等のドキュメント作成経験,設計,R1,助詞含み
設計構築,構築,R4,危険canonical=構築
設計構築経験,構築経験,R4,危険canonical=構築経験
設計段階から対応可能,設計,R4,危険canonical=設計
設計経験,設計,R4,危険canonical=設計
証券システム開発経験,開発経験,R4,危険canonical=開発経験
試験書作成~実施経験,実施,R4,危険canonical=実施
詳細設計書をもとに一人称で製造 単体試験を実施した経験,詳細設計,R1,助詞含み
認証系の経験,認証,R1,助詞含み
調整業務,調整,R4,危険canonical=調整
負荷試験計画の策定から実施 解析 改善提案まで一連の工程の対応経験,実施,R1,助詞含み
通信テスト,テスト,R4,危険canonical=テスト
通信部の組込アプリケーション開発経験,開発経験,R1,助詞含み
運用保守の経験,運用保守,R1,助詞含み
運用保守経験3年以上,運用保守,R4,危険canonical=運用保守
運用保守経験5年以上,運用保守,R4,危険canonical=運用保守
運用設計/構築に関する経験,運用設計,R1,助詞含み
運用設計の経験,運用設計,R1,助詞含み
過去に同一顧客での開発経験,開発経験,R1,助詞含み
金融サービス型ib基盤移行 テスト推進統括pmo,テスト,R2,日本語18字超
金融系システムの開発経験,開発経験,R1,助詞含み
開発pm,PM,R4,危険canonical=PM
開発側でのpmo経験,PMO,R1,助詞含み
開発系pm,PM,R4,危険canonical=PM
開発経験5年以上,開発経験,R4,危険canonical=開発経験
開発経験者,開発経験,R4,危険canonical=開発経験
関係各所との調整、エスカレーション経験,調整,R1,助詞含み
関係者(インフラ/アプリ)との調整経験,インフラ,R1,助詞含み
関係者とのコミュニケーションを取りながら業務を推進できる方,コミュニケーション,R1,助詞含み
関係者との円滑なコミュニケーション,コミュニケーション,R1,助詞含み
関係者との調整,調整,R1,助詞含み
関係者と円滑にコミュニケーション,コミュニケーション,R1,助詞含み
関係者と円滑にコミュニケーションを取りながら開発を推進できる方,コミュニケーション,R1,助詞含み
関係者調整,調整,R4,危険canonical=調整
関係部署およびベンダーとの調整経験,調整,R1,助詞含み
関連システムとのインタフェース設計経験,設計,R1,助詞含み
電話 メールでの顧客対応経験,メール,R1,助詞含み
非機能要件設計,設計,R4,危険canonical=設計
顧客やユーザーとのコミュニケーションを円滑に行える方,コミュニケーション,R1,助詞含み
顧客要求に対してニーズを分析し上流工程からアプローチした経験,上流工程,R1,助詞含み
高いコミュニケーション力,コミュニケーション力,R4,危険canonical=コミュニケーション力
